country,country_code,year,item,item_code,origin,Disponibilité intérieure,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Algérie,4,2013,Girofles,2642,vegetal,0.0,0.0,0.0,0.0
Algérie,4,2013,"Épices, Autres",2645,vegetal,10.0,2.0,0.09,0.09
Algérie,4,2013,Vin,2655,vegetal,55.0,0.0,,
Algérie,4,2013,Bière,2656,vegetal,188.0,6.0,,
Algérie,4,2013,Boissons Fermentés,2657,vegetal,0.0,0.0,,
Algérie,4,2013,Boissons Alcooliques,2658,vegetal,7.0,1.0,,
Algérie,4,2013,"Alcool, non Comestible",2659,vegetal,3.0,,,
Algérie,4,2013,Aliments pour enfants,2680,vegetal,22.0,6.0,0.04,0.04
Algérie,4,2013,Viande de Bovins,2731,animal,220.0,25.0,1.76,1.76
Algérie,4,2013,Viande d'Ovins/Caprins,2732,animal,301.0,43.0,3.42,3.42
Algérie,4,2013,Viande de Suides,2733,animal,0.0,0.0,0.0,0.0
Algérie,4,2013,Viande de Volailles,2734,animal,291.0,26.0,1.75,1.75
Algérie,4,2013,"Viande, Autre",2735,animal,14.0,1.0,0.08,0.08
Algérie,4,2013,Abats Comestible,2736,animal,57.0,4.0,0.18,0.18
Algérie,4,2013,Graisses Animales Crue,2737,animal,10.0,6.0,0.66,0.66
Algérie,4,2013,"Beurre, Ghee",2740,animal,20.0,11.0,1.2,1.2
Algérie,4,2013,Oeufs,2744,animal,348.0,27.0,1.85,1.85
Algérie,4,2013,Miel,2745,vegetal,7.0,1.0,,
Algérie,4,2013,Poissons Eau Douce,2761,animal,13.0,1.0,0.02,0.02
Algérie,4,2013,Perciform,2762,animal,17.0,0.0,0.01,0.01
Algérie,4,2013,Poissons Pelagiques,2763,animal,100.0,6.0,0.27,0.27
Algérie,4,2013,"Poissons Marins, Autres",2764,animal,17.0,1.0,0.03,0.03
Algérie,4,2013,Crustacés,2765,animal,5.0,0.0,0.0,0.0
Algérie,4,2013,Cephalopodes,2766,animal,2.0,0.0,0.0,0.0
Algérie,4,2013,"Mollusques, Autres",2767,animal,0.0,0.0,0.0,0.0
Algérie,4,2013,Animaux Aquatiques Autre,2769,animal,0.0,0.0,0.0,0.0
Algérie,4,2013,Plantes Aquatiques,2775,animal,0.0,0.0,0.0,0.0
